full_date,date,weekday,time,mood,activities,note_title,note
2021-11-20,Nov 20,Saturday,11:19 PM,good,friends | movie | college | > 15 mins on Instagram  | biking | chest / core | gym | prayer | mountain dew | Sleep 7 Hours | Screen Time 3 Hours,"","Beach clothes for MTD Sat & breakfast | call with Izzy | third ward trip | Collectivo coffee | public market | bookstore took forever | two movies | Gabriella and Tess wouldn’t let me go to bed early | Tess clinging to my legs on floor for long time until RA’s came "
2021-11-19,Nov 19,Friday,8:00 PM,Solid,friends | movie | gaming | school | college | > 15 mins on Instagram  | chest / core | gym | church | prayer | Sleep 7 Hours | Screen Time 3 Hours,"","Bombed Calc test | good mood carried over | lunch with Sara talked for a long time about school :) | data structures with Gabriella and Matt | got really frustrated with it but calmed down | For Greater Glory with Sebastian | uno and messing around with everyone on 11th floor"
2021-11-18,Nov 18,Thursday,11:20 PM,Solid,work | friends | gaming | school | college | > 15 mins on Instagram  | chest / core | prayer | mountain dew | Sleep 9 Hours | Screen Time 4 Hours,"","Positive mood to start day | tiddy cakes in Theo class | library with Sophie and Kyle | not over Sophie yet tempted to still have feelings | dull period after math class | last day of work | called Sherry | plan is to get over Sophie and wait until after winter break to start dating again | waited outside AMU flashed phone light to Jon | 7/11 | talk in Gabriella’s room about lit choir drama"
2021-11-17,Nov 17,Wednesday,10:31 PM,okay,friends | school | tv show | college | > 15 mins on Instagram  | prayer | Church group | mountain dew | Sleep 8 hours | Screen Time 4 Hours,"","Focused better than usual in classes | got Calc done in library | lunch with Gabriella talked about marriage and she said she thought I was “settling” | dinner with Sebastian Gabby and Nancy | Ignite with Sara | Steve gave a talk about gratitude and that changed everything | really good time with Sara I like when she’s happy/excited | pool with Marco Tess and Sebastián | sunk 8 ball in wrong pocket "
2021-11-16,Nov 16,Tuesday,9:44 PM,okay,work | friends | school | tv show | college | chest / core | gym | prayer | Screen Time 4 Hours,"","Library with Sophie and Sara | not completely over Sophie felt something | lunch with Sebastian Sophie Tess and Gabriella | couldn’t focus in Calc discussion | unproductive library studying with Gabriella | no response from Sherry | Brady documentary | ice cream"
2021-11-15,Nov 15,Monday,9:06 PM,bad,friends | school | college | > 15 mins on Instagram  | chest / core | gym | prayer | Sleep 9 Hours | Screen Time 4 Hours,"","Calculus confusing | call with counseling wasn’t very helpful | depression episode in library with Gabriella couldn’t do Calc | banana was actually from Sebastian | stats test went well | texting Sophie about theology classes | Sprite cranberry slushy | dinner with Gabriella Tess and Nancy | Calc with Gabriella for two hours | Marquette upset Illinois and I didn’t go to the game "
2021-11-14,Nov 14,Sunday,8:20 PM,bad,friends | college | > 15 mins on Instagram  | Watched Sports | prayer | mountain dew | Sleep 6 Hours | Screen Time 5 Hours,"","8 a.m mass didn’t get to sit next to Sara | Cobeen breakfast | Sara too busy to study Calc with me today | tried making a hammock out of comforter | really bad depressed state | told Tess and she recommended counseling | crazy dude outside of Gesu | didn’t say hardly anything during dinner | life really sucks right now"
2021-11-13,Nov 13,Saturday,8:00 PM,good,friends | movie | college | biking | chest / core | gym | prayer | mountain dew | Sleep 8 hours | Screen Time 3 Hours,"","Two unofficial dates got super excited called Mom | studied with Sara had a lot of fun and laughed a lot with her | movie and Chipotle with Gabby | X-Men Wolverine origins | Ferries Bueller Sophie and Ana | I think I choose Sara"
2021-11-12,Nov 12,Friday,10:28 PM,okay,friends | school | tv show | college | volunteer | prayer | Sleep 8 hours | Screen Time 3 Hours,"","North Western interview | 12 PM mass | lunch with Sara Gabby and Gabriella | stayed after with Sara Tess and Zac | Sebastian canceled basketball plans | felt very disappointed then got into a depression mood for next couple of hours | lack of happiness | rescue mission volunteering; stacked cups ran from kids | dinner with Sophie’s gang + Tess | Taylor Swift "
2021-11-11,Nov 11,Thursday,10:27 PM,okay,work | friends | school | tv show | college | Watched Sports | chest / core | gym | prayer | mountain dew | Sleep 9 Hours | Screen Time 3 Hours,"","Library with Sophie went really normal |. Little disappointed Sara wasn’t there | lunch with Tess and Gabriella | 7/11 sprite cranberry slush is so good | all caps text to Gabby about cats"
2021-11-10,Nov 10,Wednesday,8:32 PM,okay,friends | movie | school | college | > 15 mins on Instagram  | Blood Donation | prayer | mountain dew | Sleep 7 Hours | Screen Time <= 2 hours,"","Sophie showed up for breakfast | couldn’t focus in Calc or data Structures | also saw Sophie in library | felt depressed in library didn’t do anything | lunch with Gabriella felt better | donated double red with Tess | dinner with Gabby | watched About Time"
2021-11-09,Nov 9,Tuesday,9:51 PM,okay,work | friends | school | tv show | college | > 15 mins on Instagram  | chest / core | prayer | Sleep 8 hours | Screen Time <= 2 hours,"","Presence of Jesus in Theo class | military presentation | plan with Sara meeting Sophie and I in library went to perfection | Sara is reliable | screwed in calc | nap | hard to focus on school work and frustrating | work went way later than expected "
2021-11-08,Nov 8,Monday,11:28 PM,okay,friends | gaming | school | college | Watched Sports | chest / core | gym | prayer | Spiritual Direction | mountain dew | Sleep 8 hours | Screen Time 5 Hours,"","Gabriella asked why I didn’t go to mass with Gabby while Sara in ear shot | data structures test kinda hard | text from Sophie asking how I was doing | couldn’t figure calculus | played minecraft in library and got caught doing leg lifts | spiritual direction had a lot of negatives | texting Gabby about movies | dinner with Gabriella Tess and Matthew | talk with everyone in hallway; Marco horse mask | got apartment | lost by 1 in fantasy | talk with Jon"
2021-11-07,Nov 7,Sunday,9:39 PM,Solid,friends | college | > 15 mins on Instagram  | Watched Sports | church | prayer | mountain dew | Sleep 8 hours | Screen Time 5 Hours,"","8 am mass with Sara and Will | made Sara laugh a lot went generally well | green smoothie after mass | breakfast with Gabriella | lunch with Gabriella Tess and Raina about housing | studied data structures with Gabriella | Jordan Loves first start didn’t go so well | phone call with Aunt Jen | dinner with people after mass | good conversations with Gabby | hand sanitizer in Tess’s eye and broke elevator | more data structures "
2021-11-06,Nov 6,Saturday,11:40 PM,meh,friends | movie | college | biking | chest / core | gym | prayer | mountain dew | Sleep 8 hours | Screen Time 3 Hours,"","2 year MTD Sat anniversary | waited forever to get lunch with everyone | worried that Gabby went missing | laid in bed doing nothing for a long time depressed | watched Luca and Soul with Gabriella Tess and Gabby | talk with Gabriella about crushes and Sophie "
2021-11-05,Nov 5,Friday,10:23 PM,okay,friends | school | college | church | prayer | mountain dew | Sleep 8 hours | Screen Time 3 Hours,"","Classes really hard today | angry and sad mood in morning | advising meeting and talk with Duns made me feel better | mass lectured | nap | major melon | annex | studied in Gabriella’s room for Data Structures | what do you meme late night "
2021-11-04,Nov 4,Thursday,10:03 PM,okay,friends | school | college | biking | chest / core | gym | prayer | Sleep 9 Hours | Screen Time 3 Hours,"","Saw Sophie in class and library didn’t feel good | idk if I can be friends with her; I feel pressure near her | almost broke down after almost not being able to go the basketball game | Gabriella fell sprained ankle | Sebastian called me and I ran down stairs and found her | burnt cookies | Marquette basketball game with Gabby Tess Sebastian and Jon | bad first half of day good second half "
2021-11-03,Nov 3,Wednesday,8:58 PM,meh,friends | gaming | school | tv show | college | chest / core | gym | prayer | Church group | mountain dew | Sleep 9 Hours | Screen Time 3 Hours,"","Felt like crap all morning | so much pain | Sophie said hi to Gabriella and I | hard to adjust after thinking about Sophie so much for 8 months straight | felt little better after working out | end of Squid Games was terrible | annex with Gabby Jon and Sebastian | ignite with Sara | told Sara about discernment to let go of Sophie | Idk if I am developing feelings for Sara or Gabby"
2021-11-02,Nov 2,Tuesday,8:46 PM,meh,work | friends | school | tv show | college | chest / core | gym | prayer | mountain dew | double dew | Sleep 9 Hours | Screen Time 3 Hours,"","Not allowed to bring food in dining hall | no class with Sophie but sent a couple of emails to her | library with Sara | lunch with Sebastian and Gabriella | spinning in chair | cold | wish I had someone to love | dinner with Gabriella "
2021-11-01,Nov 1,Monday,9:21 PM,okay,friends | school | tv show | college | chest / core | gym | church | prayer | mountain dew | Sleep 7 Hours | Screen Time 3 Hours,"","Super hard math lesson | nap in chairs while studying | 12 PM mass with Gabby and Sara and was greeter | lack of sleep | crazy dinner ate the Rhine of the grape fruit "
2021-10-31,Oct 31,Sunday,10:39 PM,Solid,friends | tv show | college | Watched Sports | chest / core | church | prayer | mountain dew | Sleep 8 hours | Screen Time 4 Hours,"","Breakfast with 8 a.m. people | took bus to bury bottle cap of Dew from first date | really hard to leave but it brought closure | moving on seeming to go pretty well | phone call with Sherry | mass with super long homily | Joes house | no idea what to make of feelings/crushes | Holy Spirit so helpful in guiding me"
2021-10-30,Oct 30,Saturday,8:00 PM,okay,friends | college | prayer | mountain dew | Sleep 5- Hours | Screen Time <= 2 hours,"","Retreat day 2 | Woke up on drool couch in hallway | didn’t participate much in small group talk | walk with Gabby to mud lake | Sebastian had really powerful speech | officially getting over Sophie :/ | talk with Tess and Gabriella then “What do you Meme” | Kyan and Kaitlin toxic against Jude"
2021-10-29,Oct 29,Friday,11:31 PM,meh,friends | gaming | school | walk with duns | college | prayer | mountain dew | Sleep 7 Hours | Screen Time 3 Hours,"","Math class canceled | walk with Duns and Sophie almost canceled | was able to walk with Duns and Sophie: good conversations but no spark with Sophie | retreat: using being silly and competitive as a mask to hide pain | camp fire songs was out of it | spent night alone not wanting to: be alone, with people, go to bed , stay up | I don’t know how to ask for help | walk with Gabby I think I need to let go of Sophie "
2021-10-28,Oct 28,Thursday,10:11 PM,okay,friends | school | tv show | college | Watched Sports | biking | chest / core | gym | prayer | Sleep 9 Hours | Screen Time 3 Hours,"","Definitely still like Sophie | lunch with Tess and Gabriella | slushees with Gabby Jon Gabriella and Tess | Packers Cardinals "
2021-10-27,Oct 27,Wednesday,9:51 PM,okay,friends | school | tv show | college | chest / core | gym | prayer | Church group | Sleep 8 hours | Screen Time 3 Hours,"","Flu shot | lunch with Gabriella Matt Sara and Gabby | went on Steve’s podcast | Annex with Jon | Ignite Duns horror talk with Sara | Sara screamed during jump scare | confused about feelings "
2021-10-26,Oct 26,Tuesday,9:48 PM,okay,work | friends | school | tv show | college | prayer | Sleep 9 Hours | Screen Time 3 Hours,"","Library with Sophie didn’t say much | lunch with Sophie Sebastian and Gabriella | advisor meeting | going to be a triple major | carrying on multiple conversations during work | dinner with Tess | ice cream | I think Sophie is working hard in self improvement "
2021-10-25,Oct 25,Monday,9:16 PM,okay,friends | school | college | Watched Sports | prayer | Spiritual Direction | Sleep 7 Hours | Screen Time 3 Hours,"","Got math test back got a 95 | Sophie fell asleep during her meditation | lunch with Gabriella think I’m gonna triple major | serious spiritual direction convo | dinner with Jon Gabriella Tess and Nancy; Gabriella was acting crazy | caught a cold "
2021-10-24,Oct 24,Sunday,10:30 PM,good,friends | movie | college | Watched Sports | church | prayer | mountain dew | Sleep 8 hours | Screen Time <= 2 hours,"","Helped out cooking | hung out in downstairs kitchen most of day | Pirates 3 | Sophie came for the nacatameles and movie | sat next to her very closely during movie | rainy day walk back with Sophie to her dorm | 9 PM mass | I love Sophie"
2021-10-23,Oct 23,Saturday,8:00 PM,Solid,friends | movie | gaming | tv show | college | chest / core | prayer | mountain dew | Sleep 8 hours | Screen Time <= 2 hours,"","Hispanic supermarket and empanadas | thrashed Apple 12 pack with Sebastian and bus ride | temptation of lust | Pirates of the Caribbean 2 | hiding under blanket | sitting next to Gabby don’t know what I’m feeling | Gabriella spoiled movie and everyone was slap happy "
2021-10-22,Oct 22,Friday,11:53 PM,okay,friends | gaming | tv show | college | chest / core | gym | Other Sports | prayer | Partial Dew | Sleep 8 hours | Screen Time 4 Hours,"","Sad mood morning | lunch with Gabby and Tess | long time without text from Sophie | football with Steve | talk to Jude | code help from Nathan | Izzy keeps talking to me talked about religion | God is funny | dinner with Gabby | pasta and cookies at kitchen with Gabriella Sebastian Tess Gabby Sophie and Emily | walked back Sophie and Emily with Sebastian | root beer float & call with Mom"
2021-10-21,Oct 21,Thursday,8:00 PM,okay,friends | movie | gaming | school | college | chest / core | gym | Other Sports | prayer | Sleep 8 hours | Screen Time 3 Hours,"","Ghost town/ so many places closed | long time waiting for Sophie’s response was afraid friendship was in danger | data structures in Cudahy | Gabriella eye appointment | basketball at rec kept getting kicked off made me upset | watched bad movie Gabriella wanted to watch | sundicks and 7/11 | homeless man at 7/11 j walked street with Gabby stopped her from getting hit by car | Tess and Gabriella cooked while Gabby and I watched Venom | talk with Izzy on discord; just trying to be polite | it’s hard waiting for Sophie feel lonely "
2021-10-20,Oct 20,Wednesday,11:26 PM,Solid,friends | school | tv show | college | chest / core | gym | church | prayer | Partial Dew | Sleep 6 Hours | Screen Time 4 Hours,"","Bad dream about Sophie not liking me | was up at 5:30 couldn’t go back to bed | dream really shook me for hours | may have aced Calc test | Theo mid term went well | started watching Squid Game | dinner with Sophie and Gabriella | Adoration at new place | sat next to Sophie on car ride and at mass | really enjoyed all the time and proximity with Sophie but didn’t feel the sparks of anything romantic | Joes apartment "
2021-10-19,Oct 19,Tuesday,9:24 PM,okay,work | friends | school | college | > 15 mins on Instagram  | biking | chest / core | gym | prayer | mountain dew | Sleep 9 Hours | Screen Time 4 Hours,"","Slept in no Theo class | library with Sara | lunch with Sophie Sebastian Sara and Steve | worried about having other crushes | laid in bed | Baja blast | trick shot took over an hour; microcosm of me not being able to give up even if hurts | dinner with Tess and Gabby | walked Tess and Gabby with Jon"
2021-10-18,Oct 18,Monday,8:44 PM,okay,friends | school | college | prayer | Partial Dew | Sleep 9 Hours | Screen Time 3 Hours,"","Skipped lunch | got whole class extension on COSC assignment | spent 40 minutes editing Sophie’s essay | actually paid attention in stats | avg test score was 56 in stats | dinner with Jon and Gabby | reflecting that my favorite moment this school year was when Sophie held my hand on the bus during our first date "
2021-10-17,Oct 17,Sunday,9:06 PM,Solid,friends | college | Watched Sports | church | prayer | Sleep 7 Hours | Screen Time 3 Hours,"","8 a.m. didn’t see Sophie felt terrible | then saw her a couple rows in front and I slid on the bench to sit next to her; gift from God she was there | breakfast at Cobeen with Sophie and Emily | Calc studying invited Sara, Bill Sarah and Gabriella | don’t like Bill | writing center with Noah; essay is really good | waited outside of Gesu for 30 minutes for friends | dinner with the gang | sad mood miss the time period when Sophie liked me"
2021-10-16,Oct 16,Saturday,10:26 PM,Solid,friends | college | biking | chest / core | gym | prayer | mountain dew | Sleep 9 Hours | Screen Time <= 2 hours,"","Finished Theo essay | breakfast of Dew cheez-it’s and cookies | fixed Gabby’s bed | walk up stairs with mask over eyes | stole Jon’s bed 😂 | data Structures with Gabriella couldn’t figure it out | housing talk and threw pumpkin toy around | Carmel apples and talk about Pets with Tess Nancy Gabriella and Gabby | felt out of it because tiredness"
2021-10-15,Oct 15,Friday,8:45 PM,okay,friends | school | college | chest / core | church | prayer | 4 meals | Sleep 7 Hours | Screen Time <= 2 hours,"","So much good new music | Talkative/ out going mood | jump scared Gabriella | noon mass; lectured | lunch with Sebastian Gabriella and John | data structures with Gabriella | dinner with Gabriella Sebastian and Tess | 7/11 after with Tess and Gabriella | sad mood | talk with Caitlin"
2021-10-14,Oct 14,Thursday,10:36 PM,Solid,work | friends | school | tv show | college | > 15 mins on Instagram  | Watched Sports | biking | chest / core | gym | prayer | Partial Dew | Sleep 8 hours | Screen Time 4 Hours,"","Got to class really early | library with Sophie :) | she got me a muffin | writing center with Noah went really well | cold burnt burger | finished take home stats test | new Killers song super good | radio show Sophie mentioned wanting to get married and have kids | probably being overly optimistic but I feel like something might be happening between Sophie and I"
2021-10-13,Oct 13,Wednesday,8:56 PM,okay,friends | school | tv show | college | chest / core | gym | prayer | mountain dew | Sleep 8 hours | Screen Time 3 Hours,"","Fake Covid check | lunch with Gabriella | found internships | switched headbands | dinner with Gabby; surprised how well she kept the conversation going | kettle corn popcorn 💀 | elbow hurt Jon said I fell out to bed and scared everyone 😂"
2021-10-12,Oct 12,Tuesday,9:25 PM,Solid,work | friends | school | tv show | college | biking | chest / core | gym | prayer | Sleep 9 Hours | Screen Time 3 Hours,"","Library with Sophie | lunch with Sophie and Sebastián | enjoyed spending time with Sophie especially when we exchanged looks when Sebastian did something funny :) | Abraham essay | ran into Peter at library | productive day | robbery where I work | walked Gabriella twice | trolling Sebastián "
2021-10-11,Oct 11,Monday,8:48 PM,okay,friends | reading | gaming | school | tv show | college | chest / core | gym | prayer | Spiritual Direction | Sleep 9 Hours | Screen Time 3 Hours,"","Well rested | trying to get points back from TA in COSC | switched seats temporarily with Gab in COSC | studied right before stats test | tilted during test | spiritual Direction | busy day | interesting reading for Saints class | dinner alone "
2021-10-10,Oct 10,Sunday,8:59 PM,Solid,friends | gaming | walk with duns | college | Watched Sports | church | prayer | Sleep 9 Hours | Screen Time 5 Hours,"","Mass with Sebastián | another infant baptism; I’m gonna be like the Dad one day | good fantasy weekend | Packers won after 5 missed field goals | walk with Duns | texting Sophie today | Annex with Jon | today a relationship with Sophie feels meant to be | this week things seem to have progressed a little"
2021-10-09,Oct 9,Saturday,9:00 PM,okay,friends | gaming | college | chest / core | prayer | mountain dew | Sleep 10+ Hours | Screen Time 3 Hours,"","Cult of Saints essay | Sophie came over to sign card and give Sebastián his gift | bus to Walmart, Pick n Save, and Culver’s; went really well | offered to get Sophie something from Culver’s | thrashed Apple Mountain Dew | delivered Sara birthday stuff with Gabby | dinner with gang | I do not feel good; anxiety?; I don’t know what’s wrong with me | talk with Sherry made me feel better"
2021-10-08,Oct 8,Friday,7:44 PM,meh,friends | gaming | school | tv show | college | chest / core | prayer | mountain dew | Sleep 7 Hours | Screen Time 3 Hours,"","Bad mood waking up | Emely canceled lunch | difficult time studying | knees hurt | mixed Berry blast and OG Dew | birthday idea for Sara | are feelings for Sophie sustainable? | feel lost | texted Sara about vaccine conversation "
2021-10-07,Oct 7,Thursday,10:57 PM,Solid,work | friends | gaming | school | college | > 15 mins on Instagram  | Watched Sports | chest / core | run | church | prayer | Partial Dew | Sleep 9 Hours | Screen Time 3 Hours,"","Ran 6 laps at 6:56 mile pace | good run and texting Sophie; felt like something was happening between us | joyful morning | stressed about Theo essay | read a lot of Cult of Saints | MTD Berry Blast | madden during work | 10 PM mass with Sophie and Joe"
2021-10-06,Oct 6,Wednesday,9:20 PM,okay,friends | movie | school | tv show | college | chest / core | prayer | Sleep 7 Hours | Screen Time 4 Hours,"","Sad mood about Sophie most of day | bagel and hot chocolate | Sara got Covid | adoration | texted Sophie a good amount | watched “The Guilty” which made me anxious "
2021-10-05,Oct 5,Tuesday,10:00 PM,Solid,work | friends | school | tv show | college | chest / core | run | prayer | Partial Dew | 4 meals | Sleep 9 Hours | Screen Time 3 Hours,"","5:54 mile 😄 | library with Sophie | reading for Theo went well | last slice of Ian’s pizza | long time at work"
2021-10-04,Oct 4,Monday,9:42 PM,okay,friends | school | college | chest / core | gym | prayer | mountain dew | Sleep 9 Hours | Screen Time 4 Hours,"","Alarm didn’t go off | Jude made a mistake |  COSC test | code red | lunch at Schroeder with Gabriella | TA graded paper like high school English class | texted Sophie a decent amount | dinner with Jon Tess Gabriella | bouncy ball Gabriella interrogating Jon"
2021-10-03,Oct 3,Sunday,9:19 PM,Solid,friends | tv show | college | Watched Sports | church | prayer | Partial Dew | Sleep 5- Hours | Screen Time 4 Hours,"","Slept very little to go to mass with Sophie | totally worth it had a very good mass | message about marriage | breakfast with Sophie and Will | sad mood back at dorm | floor meeting which was b.s | Sophie liked the Arlie song I recommended :) | dinner with people from 6 PM mass | conversation with Joe Tess Gabriella about marriage and chastity "
2021-10-02,Oct 2,Saturday,8:00 PM,good,work | friends | movie | tv show | college | > 15 mins on Instagram  | chest / core | run | prayer | mountain dew | Sleep 9 Hours | Screen Time 3 Hours,"","Apple sauce meme for Sebastián | ran for 10 minutes | CPR training | cake and Data Structures in Gab’s room + Marco and Tess almost dates | dinner with everyone | Jon drinking all the water | good time talking to Sophie | watched Grownups | Jon nerf gun | late night uno"
2021-10-01,Oct 1,Friday,10:15 PM,okay,friends | gaming | school | tv show | college | volunteer | chest / core | Other Sports | prayer | Partial Dew | Sleep 8 hours | Screen Time 3 Hours,"","Data Structures test is gonna be no interpreter 😑 | threw football with Steve | rescue mission | it was a mistake to give Sara heads up"
2021-09-30,Sep 30,Thursday,10:29 PM,okay,work | friends | gaming | school | college | > 15 mins on Instagram  | Watched Sports | chest / core | prayer | Sleep 8 hours | Screen Time 3 Hours,"","Left hand desk | studied with Sophie bittersweet spending time with her | lunch with Gab | prayer: God I depend on you and need you| onion Instagram accounts | fact checker for the podcast? | coughing all day"
2021-09-29,Sep 29,Wednesday,11:18 PM,Solid,friends | gaming | school | tv show | college | chest / core | prayer | Sleep 9 Hours | Screen Time 3 Hours,"","Woke up in good mood | Sophie did well on path test | hopefully helped her relax | got the one copy of Saints and Martyrs book from library | Sara being excluded from girls apartment because vaccination status "
2021-09-28,Sep 28,Tuesday,8:53 PM,Solid,work | friends | gaming | school | tv show | college | chest / core | prayer | Sleep 9 Hours | Screen Time <= 2 hours,"","Sick still | studied with Sophie after class | lunch with Sophie and Sebastián | quoted in Marquette Wire article | dinner with Gabriella then helped her with code"
2021-09-27,Sep 27,Monday,9:33 PM,okay,friends | school | college | Watched Sports | chest / core | prayer | Spiritual Direction | Sleep 7 Hours | Screen Time 3 Hours,"","Got math test back better than expected | sick today with sore throat/chills | Sophie thinks she did well on test made me happy | Good and bad moments of last two weeks for Spiritual Direction | Tess Joe Gabriella nerding out | cupcakes for Gabby’s birthday | curious about making a program with Mind Monitor data "
2021-09-26,Sep 26,Sunday,10:42 PM,okay,friends | gaming | college | Watched Sports | church | prayer | Partial Dew | Sleep 9 Hours | Screen Time 5 Hours,"","Mass at Gesu alone; infant baptism, don’t really like Gesu considering going to 9 PM mass | decided not to go to mass twice the second one being with Sophie | watched football all day | vc with Cameron a lot | blood pressure for Kelsie and Molly | dinner with everyone | Packers win in close game | throat hurting went silent at end of night "
2021-09-25,Sep 25,Saturday,9:13 PM,okay,work | friends | movie | gaming | college | > 15 mins on Instagram  | chest / core | prayer | mountain dew | Sleep 9 Hours | Screen Time 3 Hours,"","Work shift down way early because tournament canceled | most of day spent by myself | meditation thing worker | Jungle Cruise"
2021-09-24,Sep 24,Friday,11:54 PM,okay,friends | gaming | school | tv show | college | chest / core | gym | prayer | mountain dew | Sleep 8 hours | Screen Time <= 2 hours,"","Super hard math test | asked Sophie about pickleball she’s busy | talked to Sophie at the rec | dinner, Uno, Truth/Dare with Gabriella Sebastián Gabi Nancy Marco Dev"
2021-09-23,Sep 23,Thursday,10:36 PM,okay,work | friends | school | college | Watched Sports | chest / core | gym | prayer | double dew | Sleep 8 hours | Screen Time 3 Hours,"","Slept in tell 9 | met Bradley at Brew | basketball season tickets ran from library to Dorm to pay in time 🥵 | studied for so long today | Wild Cherry kickstart and Baja Blast"
2021-09-22,Sep 22,Wednesday,8:00 PM,Solid,friends | movie | school | college | chest / core | gym | prayer | Confession | Sleep 8 hours | Screen Time <= 2 hours,"","Hungry almost ate paper | good talk with Gabriella during lunch about marriage | confession | lunch with Gabi Jon Sebastián and rat molester | movie night saw Silence with Sophie Sebastián Gabi and Jon | walked Sophie back | late night talk with Sebastián Gabriella Tess | Tess liked b-day gift     "
2021-09-21,Sep 21,Tuesday,9:01 PM,meh,work | gaming | school | tv show | college | biking | chest / core | gym | prayer | mountain dew | Sleep 8 hours | Screen Time <= 2 hours,"","Library by myself after class | Sophie and Sebastián bailed on lunch | stuck on R coding | weird interaction with Izzy on discord | Tess B-Day can’t get package for some reason | Sophie studying on my floor | downer mood all day | walked Sophie back"
2021-09-20,Sep 20,Monday,10:44 PM,okay,friends | gaming | school | college | Watched Sports | chest / core | prayer | mountain dew | Sleep 7 Hours | Screen Time <= 2 hours,"","Super tired morning | Gabriella got me Major Melon | saw Sophie at library | meeting about Masters Data Science degree | Steve’s apartment Packers Lions | best Sebastián in fantasy | Kyan broke up with Jude :("
2021-09-19,Sep 19,Sunday,10:06 PM,okay,friends | gaming | college | Watched Sports | Other Sports | church | prayer | Sleep 7 Hours | Screen Time <= 2 hours,"","8 a.m mass with Sophie Sara and Joe | beach day | football,frisbee,water; Sophie is good at football | Joe and Sophie talking a lot makes me feel a little jealous | Sophie Joe Tess and Melissa snuck off to Culver’s | felt really tired and crappy after beach | dinner; Gabriella and Tess little crazy; same page as Gabi | bystander training gave Tess tissues "
